Address,Property Type,Bedrooms,Main Image URL,Detail URL,Display Price,Date Sold
"77, Longbridge Way, London, Greater London SE13 6PW",SEMI_DETACHED,2,https://media.rightmove.co.uk/dir/4k/3694/148654325/3694_102954005644_IMG_18_0000_max_135x100.jpeg,https://www.rightmove.co.uk/house-prices/details/england-148654325-22100218?s=25e8f0c8114c93744c77d794e9902fc84f1ab590a878584042530d7899d7f8fa,"£215,000",11 Jan 2007
"77, Longbridge Way, London, Greater London SE13 6PW",SEMI_DETACHED,2,https://media.rightmove.co.uk/dir/4k/3694/148654325/3694_102954005644_IMG_18_0000_max_135x100.jpeg,https://www.rightmove.co.uk/house-prices/details/england-148654325-22100218?s=25e8f0c8114c93744c77d794e9902fc84f1ab590a878584042530d7899d7f8fa,"£121,000",16 Jul 2001
"77, Longbridge Way, London, Greater London SE13 6PW",SEMI_DETACHED,2,https://media.rightmove.co.uk/dir/4k/3694/148654325/3694_102954005644_IMG_18_0000_max_135x100.jpeg,https://www.rightmove.co.uk/house-prices/details/england-148654325-22100218?s=25e8f0c8114c93744c77d794e9902fc84f1ab590a878584042530d7899d7f8fa,"£70,000",5 Dec 1997
"11, Rowton Road, London, Greater London SE18 2TE",TERRACED,4,https://media.rightmove.co.uk/dir/77k/76316/150816206/76316_BMN_PLM_LFSYCL_311338_IMG_00_0000_max_135x100.jpeg,https://www.rightmove.co.uk/house-prices/details/england-150816206-22101124?s=a26da97748b4069ff1d1243f9aa57e445ad31a57a6491611fe21d8938f323529,"£555,000",26 Nov 2024
"11, Rowton Road, London, Greater London SE18 2TE",TERRACED,4,https://media.rightmove.co.uk/dir/77k/76316/150816206/76316_BMN_PLM_LFSYCL_311338_IMG_00_0000_max_135x100.jpeg,https://www.rightmove.co.uk/house-prices/details/england-150816206-22101124?s=a26da97748b4069ff1d1243f9aa57e445ad31a57a6491611fe21d8938f323529,"£222,000",23 Feb 2005
"11, Rowton Road, London, Greater London SE18 2TE",TERRACED,4,https://media.rightmove.co.uk/dir/77k/76316/150816206/76316_BMN_PLM_LFSYCL_311338_IMG_00_0000_max_135x100.jpeg,https://www.rightmove.co.uk/house-prices/details/england-150816206-22101124?s=a26da97748b4069ff1d1243f9aa57e445ad31a57a6491611fe21d8938f323529,"£157,000",30 Apr 2004
"Flat 74, 17, Bessemer Place, London, Greater London SE10 0GP",FLAT,,,https://www.rightmove.co.uk/house-prices/details/england-22099402?s=c42570e62bc02dace15a752a8ceb6014c568f19363af25bfd434d5d7ff6928e1,"£510,000",26 Nov 2024
"Flat 74, 17, Bessemer Place, London, Greater London SE10 0GP",FLAT,,,https://www.rightmove.co.uk/house-prices/details/england-22099402?s=c42570e62bc02dace15a752a8ceb6014c568f19363af25bfd434d5d7ff6928e1,"£424,995",21 Dec 2015
"50, Alpha Road, London, Greater London E4 6TB",TERRACED,3,https://media.rightmove.co.uk/dir/11k/10142/147430286/10142_33064833_IMG_00_0000_max_135x100.jpeg,https://www.rightmove.co.uk/house-prices/details/england-147430286-21944059?s=42cb98a7cafc58821a7070704067bb4c51620e356532a8c5111716fbd5b55238,"£492,500",26 Nov 2024
"50, Alpha Road, London, Greater London E4 6TB",TERRACED,3,https://media.rightmove.co.uk/dir/11k/10142/147430286/10142_33064833_IMG_00_0000_max_135x100.jpeg,https://www.rightmove.co.uk/house-prices/details/england-147430286-21944059?s=42cb98a7cafc58821a7070704067bb4c51620e356532a8c5111716fbd5b55238,"£235,000",3 Jun 2005
