Address,Property Type,Bedrooms,Main Image URL,Detail URL,Display Price,Date Sold
"Flat 16, Brandon House, 10, Hilary Mews, London, Greater London SE1 1AP",FLAT,,,https://www.rightmove.co.uk/house-prices/details/england-21507967?s=5acb1b6593ff52d8120cb0a148de417f3f3c8cf6c3d28b23843a23d649b070ea,"£1,235,000",26 Feb 2018
"Apartment 3603, 55, Upper Ground, London, Greater London SE1 9HE",FLAT,,,https://www.rightmove.co.uk/house-prices/details/england-22099366?s=a5556e7ddbb4d90c5b62d38f47dfe96d2bf9fcc4eed10b97b93b90e6f74befec,"£4,150,000",5 Apr 2024
"33, Leathermarket Court, London, Greater London SE1 3HS",FLAT,2,https://media.rightmove.co.uk/dir/34k/33557/143931293/33557_GER225444_IMG_00_0000_max_135x100.jpeg,https://www.rightmove.co.uk/house-prices/details/england-143931293-21508030?s=03fe59d6da2ac976356938a39590c7e7367dc9982bcf8d2842c798f5e1e71435,"£697,100",4 Apr 2024
"33, Leathermarket Court, London, Greater London SE1 3HS",FLAT,2,https://media.rightmove.co.uk/dir/34k/33557/143931293/33557_GER225444_IMG_00_0000_max_135x100.jpeg,https://www.rightmove.co.uk/house-prices/details/england-143931293-21508030?s=03fe59d6da2ac976356938a39590c7e7367dc9982bcf8d2842c798f5e1e71435,"£665,000",7 Dec 2017
"33, Leathermarket Court, London, Greater London SE1 3HS",FLAT,2,https://media.rightmove.co.uk/dir/34k/33557/143931293/33557_GER225444_IMG_00_0000_max_135x100.jpeg,https://www.rightmove.co.uk/house-prices/details/england-143931293-21508030?s=03fe59d6da2ac976356938a39590c7e7367dc9982bcf8d2842c798f5e1e71435,"£132,000",30 Nov 1998
"33, Leathermarket Court, London, Greater London SE1 3HS",FLAT,2,https://media.rightmove.co.uk/dir/34k/33557/143931293/33557_GER225444_IMG_00_0000_max_135x100.jpeg,https://www.rightmove.co.uk/house-prices/details/england-143931293-21508030?s=03fe59d6da2ac976356938a39590c7e7367dc9982bcf8d2842c798f5e1e71435,"£103,950",31 Jul 1995
"Flat 96, Devon Mansions, Tooley Street, London, Greater London SE1 2LB",FLAT,1,https://media.rightmove.co.uk/dir/199k/198539/134947601/198539_32330086_IMG_00_0001_max_135x100.jpeg,https://www.rightmove.co.uk/house-prices/details/england-134947601-20488021?s=c15bf9a0e8473bbf5d2016a96d4ce50f887b0af324e6b1e9ca4a56f77ce7b8c3,"£435,000",4 Apr 2024
"Flat 96, Devon Mansions, Tooley Street, London, Greater London SE1 2LB",FLAT,1,https://media.rightmove.co.uk/dir/199k/198539/134947601/198539_32330086_IMG_00_0001_max_135x100.jpeg,https://www.rightmove.co.uk/house-prices/details/england-134947601-20488021?s=c15bf9a0e8473bbf5d2016a96d4ce50f887b0af324e6b1e9ca4a56f77ce7b8c3,"£535,000",27 May 2016
"Flat 96, Devon Mansions, Tooley Street, London, Greater London SE1 2LB",FLAT,1,https://media.rightmove.co.uk/dir/199k/198539/134947601/198539_32330086_IMG_00_0001_max_135x100.jpeg,https://www.rightmove.co.uk/house-prices/details/england-134947601-20488021?s=c15bf9a0e8473bbf5d2016a96d4ce50f887b0af324e6b1e9ca4a56f77ce7b8c3,"£350,000",12 Sep 2013
"Flat 96, Devon Mansions, Tooley Street, London, Greater London SE1 2LB",FLAT,1,https://media.rightmove.co.uk/dir/199k/198539/134947601/198539_32330086_IMG_00_0001_max_135x100.jpeg,https://www.rightmove.co.uk/house-prices/details/england-134947601-20488021?s=c15bf9a0e8473bbf5d2016a96d4ce50f887b0af324e6b1e9ca4a56f77ce7b8c3,"£42,000",24 Jul 2000
"Flat 96, Devon Mansions, Tooley Street, London, Greater London SE1 2LB",FLAT,1,https://media.rightmove.co.uk/dir/199k/198539/134947601/198539_32330086_IMG_00_0001_max_135x100.jpeg,https://www.rightmove.co.uk/house-prices/details/england-134947601-20488021?s=c15bf9a0e8473bbf5d2016a96d4ce50f887b0af324e6b1e9ca4a56f77ce7b8c3,"£435,000",4 Apr 2024
"Flat 96, Devon Mansions, Tooley Street, London, Greater London SE1 2LB",FLAT,1,https://media.rightmove.co.uk/dir/199k/198539/134947601/198539_32330086_IMG_00_0001_max_135x100.jpeg,https://www.rightmove.co.uk/house-prices/details/england-134947601-20488021?s=c15bf9a0e8473bbf5d2016a96d4ce50f887b0af324e6b1e9ca4a56f77ce7b8c3,"£535,000",27 May 2016
"Flat 96, Devon Mansions, Tooley Street, London, Greater London SE1 2LB",FLAT,1,https://media.rightmove.co.uk/dir/199k/198539/134947601/198539_32330086_IMG_00_0001_max_135x100.jpeg,https://www.rightmove.co.uk/house-prices/details/england-134947601-20488021?s=c15bf9a0e8473bbf5d2016a96d4ce50f887b0af324e6b1e9ca4a56f77ce7b8c3,"£350,000",12 Sep 2013
"Flat 96, Devon Mansions, Tooley Street, London, Greater London SE1 2LB",FLAT,1,https://media.rightmove.co.uk/dir/199k/198539/134947601/198539_32330086_IMG_00_0001_max_135x100.jpeg,https://www.rightmove.co.uk/house-prices/details/england-134947601-20488021?s=c15bf9a0e8473bbf5d2016a96d4ce50f887b0af324e6b1e9ca4a56f77ce7b8c3,"£42,000",24 Jul 2000
"Flat 4, 54, Lant Street, London, Greater London SE1 1RF",FLAT,,,https://www.rightmove.co.uk/house-prices/details/england-21507970?s=48f061001cd6b4f8cddb7215504100b311d5e45cae8648d88ab4a76b44fb84a2,"£485,000",4 Apr 2024
"Flat 4, 54, Lant Street, London, Greater London SE1 1RF",FLAT,,,https://www.rightmove.co.uk/house-prices/details/england-21507970?s=48f061001cd6b4f8cddb7215504100b311d5e45cae8648d88ab4a76b44fb84a2,"£485,000",16 Feb 2018
"Flat 4, 54, Lant Street, London, Greater London SE1 1RF",FLAT,,,https://www.rightmove.co.uk/house-prices/details/england-21507970?s=48f061001cd6b4f8cddb7215504100b311d5e45cae8648d88ab4a76b44fb84a2,"£345,000",19 Aug 2011
"Flat 4, 54, Lant Street, London, Greater London SE1 1RF",FLAT,,,https://www.rightmove.co.uk/house-prices/details/england-21507970?s=48f061001cd6b4f8cddb7215504100b311d5e45cae8648d88ab4a76b44fb84a2,"£285,000",8 Nov 2006
"Flat 4, Longstone Court, 22, Great Dover Street, London, Greater London SE1 4LB",FLAT,,,https://www.rightmove.co.uk/house-prices/details/england-21508066?s=1190463d49c553b7b18e8e8cd526336f1cbc6fd7b6ba9c2c969b7ec464a87570,"£300,000",28 Mar 2024
"Flat 4, Longstone Court, 22, Great Dover Street, London, Greater London SE1 4LB",FLAT,,,https://www.rightmove.co.uk/house-prices/details/england-21508066?s=1190463d49c553b7b18e8e8cd526336f1cbc6fd7b6ba9c2c969b7ec464a87570,"£319,999",7 Jun 2004
"Flat 61, Gallery Lofts, 69, Hopton Street, London, Greater London SE1 9LF",FLAT,,,https://www.rightmove.co.uk/house-prices/details/england-21508294?s=77af1fbb4718028f7562be3c7a18f8d24a89b64e01a37296d89800fe09d34975,"£1,250,000",28 Mar 2024
"Flat 61, Gallery Lofts, 69, Hopton Street, London, Greater London SE1 9LF",FLAT,,,https://www.rightmove.co.uk/house-prices/details/england-21508294?s=77af1fbb4718028f7562be3c7a18f8d24a89b64e01a37296d89800fe09d34975,"£475,000",9 Jun 1998
"2201, 1, Casson Square, London, Greater London SE1 7EN",FLAT,,,https://www.rightmove.co.uk/house-prices/details/england-20488171?s=7a721fcd6344e1b3b2aa22474be9f671e76d17d6991cb7f6407ffe062214b2dc,"£1,875,000",28 Mar 2024
"2201, 1, Casson Square, London, Greater London SE1 7EN",FLAT,,,https://www.rightmove.co.uk/house-prices/details/england-20488171?s=7a721fcd6344e1b3b2aa22474be9f671e76d17d6991cb7f6407ffe062214b2dc,"£1,825,000",21 May 2021
"Flat 15, Binnie House, Bath Terrace, London, Greater London SE1 6QG",FLAT,2,/spw/imageInfo/placeholder/no-image.svg,https://www.rightmove.co.uk/house-prices/details/england-34645753-21508165?s=5b1bcc1e30ca16615c8b24793b28af1396cd5320c01c61c07969db7eb716288e,"£379,750",28 Mar 2024
"Flat 15, Binnie House, Bath Terrace, London, Greater London SE1 6QG",FLAT,2,/spw/imageInfo/placeholder/no-image.svg,https://www.rightmove.co.uk/house-prices/details/england-34645753-21508165?s=5b1bcc1e30ca16615c8b24793b28af1396cd5320c01c61c07969db7eb716288e,"£240,000",8 Nov 2012
"Apartment 903, 251, Southwark Bridge Road, London, Greater London SE1 6FJ",FLAT,,,https://www.rightmove.co.uk/house-prices/details/england-21508147?s=24510ad2eede3ac377f4271c1558bf7094ae061f623ef6678417e6a388021f4e,"£495,000",27 Mar 2024
"Flat 174, 100, Westminster Bridge Road, London, Greater London SE1 7XR",FLAT,,,https://www.rightmove.co.uk/house-prices/details/england-20707591?s=f4ba29ebef26b134385b2d6a460e0c4771b93d1816fca78a59b71d730b22e03a,"£660,000",25 Mar 2024
"Flat 174, 100, Westminster Bridge Road, London, Greater London SE1 7XR",FLAT,,,https://www.rightmove.co.uk/house-prices/details/england-20707591?s=f4ba29ebef26b134385b2d6a460e0c4771b93d1816fca78a59b71d730b22e03a,"£500,000",21 Dec 2011
"Flat 174, 100, Westminster Bridge Road, London, Greater London SE1 7XR",FLAT,,,https://www.rightmove.co.uk/house-prices/details/england-20707591?s=f4ba29ebef26b134385b2d6a460e0c4771b93d1816fca78a59b71d730b22e03a,"£375,000",18 Apr 2006
"Flat 174, 100, Westminster Bridge Road, London, Greater London SE1 7XR",FLAT,,,https://www.rightmove.co.uk/house-prices/details/england-20707591?s=f4ba29ebef26b134385b2d6a460e0c4771b93d1816fca78a59b71d730b22e03a,"£296,250",28 Mar 2003
"Flat 4, Muro Court, Milcote Street, London, Greater London SE1 0FH",FLAT,,,https://www.rightmove.co.uk/house-prices/details/england-20487913?s=a8c2ea09a36d52567077ad93bb9896b4b80a140a93ef5165f275aef8ccb6eb1d,"£137,500",22 Mar 2024
"Flat 4, Muro Court, Milcote Street, London, Greater London SE1 0FH",FLAT,,,https://www.rightmove.co.uk/house-prices/details/england-20487913?s=a8c2ea09a36d52567077ad93bb9896b4b80a140a93ef5165f275aef8ccb6eb1d,"£131,250",18 Jul 2017
"Flat 73, South Block 1b, Belvedere Road, London, Greater London SE1 7GD",FLAT,,,https://www.rightmove.co.uk/house-prices/details/england-20707555?s=eda165b83e3931a8b9d62f37e6a5c62eed99ecb98cc974e9145028e1c5f5805c,"£413,000",22 Mar 2024
"Flat 73, South Block 1b, Belvedere Road, London, Greater London SE1 7GD",FLAT,,,https://www.rightmove.co.uk/house-prices/details/england-20707555?s=eda165b83e3931a8b9d62f37e6a5c62eed99ecb98cc974e9145028e1c5f5805c,"£237,500",20 Apr 2004
"Flat 73, South Block 1b, Belvedere Road, London, Greater London SE1 7GD",FLAT,,,https://www.rightmove.co.uk/house-prices/details/england-20707555?s=eda165b83e3931a8b9d62f37e6a5c62eed99ecb98cc974e9145028e1c5f5805c,"£99,000",30 Jun 1997
"29, Gladstone Street, London, Greater London SE1 6EY",TERRACED,3,https://media.rightmove.co.uk/dir/78k/77148/146835191/77148_2002018_IMG_16_0000_max_135x100.jpeg,https://www.rightmove.co.uk/house-prices/details/england-146835191-20488147?s=5b5406be8e44591cf121959c8035947d609fd64891820beb7eb0462910c0cfb9,"£1,300,000",21 Mar 2024
"29, Gladstone Street, London, Greater London SE1 6EY",TERRACED,3,https://media.rightmove.co.uk/dir/78k/77148/146835191/77148_2002018_IMG_16_0000_max_135x100.jpeg,https://www.rightmove.co.uk/house-prices/details/england-146835191-20488147?s=5b5406be8e44591cf121959c8035947d609fd64891820beb7eb0462910c0cfb9,"£1,240,000",2 Mar 2018
"29, Gladstone Street, London, Greater London SE1 6EY",TERRACED,3,https://media.rightmove.co.uk/dir/78k/77148/146835191/77148_2002018_IMG_16_0000_max_135x100.jpeg,https://www.rightmove.co.uk/house-prices/details/england-146835191-20488147?s=5b5406be8e44591cf121959c8035947d609fd64891820beb7eb0462910c0cfb9,"£699,950",24 Sep 2007
"Apartment 1512, 251, Southwark Bridge Road, London, Greater London SE1 6FL",FLAT,,,https://www.rightmove.co.uk/house-prices/details/england-21245401?s=ff2d3d8ade86c860339d125ac9ef5f177a252b4d3f2662b986ad05045320f175,"£740,000",20 Mar 2024
"26, Buckstone Apartments, 140, Blackfriars Road, London, Greater London SE1 8BW",FLAT,,,https://www.rightmove.co.uk/house-prices/details/england-22099297?s=9c30df0085336044efa2fd30e94f47476b392a08f03d8a70c8b3a68d42fccffb,"£247,500",20 Mar 2024
"Flat 55, Brandon House, 10, Hilary Mews, London, Greater London SE1 1AP",FLAT,,,https://www.rightmove.co.uk/house-prices/details/england-21245269?s=f9abd646788ce6f4c95a3936fa0e8781ed08f75246802caa396915b953b65ef3,"£885,000",19 Mar 2024
"Flat 55, Brandon House, 10, Hilary Mews, London, Greater London SE1 1AP",FLAT,,,https://www.rightmove.co.uk/house-prices/details/england-21245269?s=f9abd646788ce6f4c95a3936fa0e8781ed08f75246802caa396915b953b65ef3,"£1,035,000",27 Apr 2017
"Flat 103, Block C, 70, Holland Street, London, Greater London SE1 9NX",FLAT,,,https://www.rightmove.co.uk/house-prices/details/england-21782389?s=7a16daf6a13ecd999c95f66bfefcc51e5ff25debbc164b3e8ea74de43b8f685b,"£930,000",18 Mar 2024
"43, Empire Square East, London, Greater London SE1 4NB",FLAT,,,https://www.rightmove.co.uk/house-prices/details/england-94443270?s=7adb11c67812e61609a751452b3113298c97762e369986348b62c29e03d337d1,"£1,000,000",18 Mar 2024
"43, Empire Square East, London, Greater London SE1 4NB",FLAT,,,https://www.rightmove.co.uk/house-prices/details/england-94443270?s=7adb11c67812e61609a751452b3113298c97762e369986348b62c29e03d337d1,"£525,000",26 Mar 2007
"Flat 2, Holmwood Buildings, 97, Southwark Street, London, Greater London SE1 0JE",FLAT,,,https://www.rightmove.co.uk/house-prices/details/england-21245254?s=db8c2be04351225fbede81e3ca8862af0e1cc969d047924d3b4fc8f25aa2003e,"£485,000",15 Mar 2024
"Flat 61, River Court, Upper Ground, London, Greater London SE1 9PB",FLAT,3,https://media.rightmove.co.uk/dir/163k/162572/71480036/162572_Onebla_IMG_18_0000_max_135x100.jpg,https://www.rightmove.co.uk/house-prices/details/england-71480036-21245476?s=109d69c4c81635d8d5d49a1ec29f294b8739db447351a4c9349f42c058242772,"£1,100,000",13 Mar 2024
"Flat 25, Rochester House, Manciple Street, London, Greater London SE1 4LP",FLAT,0,https://media.rightmove.co.uk/dir/195k/194057/82853077/194057_RL1058_IMG_01_0000_max_135x100.jpg,https://www.rightmove.co.uk/house-prices/details/england-82853077-20707492?s=c681e98a4aa32ba69147e13afd41ba41215fe74ddeb2d4ed17a9be9649b8bc2f,"£425,000",8 Mar 2024
"Flat 25, Rochester House, Manciple Street, London, Greater London SE1 4LP",FLAT,0,https://media.rightmove.co.uk/dir/195k/194057/82853077/194057_RL1058_IMG_01_0000_max_135x100.jpg,https://www.rightmove.co.uk/house-prices/details/england-82853077-20707492?s=c681e98a4aa32ba69147e13afd41ba41215fe74ddeb2d4ed17a9be9649b8bc2f,"£460,000",27 Mar 2019
"Flat 25, Rochester House, Manciple Street, London, Greater London SE1 4LP",FLAT,0,https://media.rightmove.co.uk/dir/195k/194057/82853077/194057_RL1058_IMG_01_0000_max_135x100.jpg,https://www.rightmove.co.uk/house-prices/details/england-82853077-20707492?s=c681e98a4aa32ba69147e13afd41ba41215fe74ddeb2d4ed17a9be9649b8bc2f,"£460,000",14 Jan 2016
"Flat 62, Otford House, Staple Street, London, Greater London SE1 4LS",FLAT,1,https://media.rightmove.co.uk/dir/51k/50683/142335497/50683_P269172_IMG_00_0000_max_135x100.jpeg,https://www.rightmove.co.uk/house-prices/details/england-142335497-94138587?s=8fbf4c07de41e3643e2c328ff78a86ba3f4026e7bb33bcfb42823369824220c9,"£325,000",7 Mar 2024
"Flat 62, Otford House, Staple Street, London, Greater London SE1 4LS",FLAT,1,https://media.rightmove.co.uk/dir/51k/50683/142335497/50683_P269172_IMG_00_0000_max_135x100.jpeg,https://www.rightmove.co.uk/house-prices/details/england-142335497-94138587?s=8fbf4c07de41e3643e2c328ff78a86ba3f4026e7bb33bcfb42823369824220c9,"£146,000",14 Dec 2004
"Flat 9, 56, Swan Street, London, Greater London SE1 1AY",FLAT,,,https://www.rightmove.co.uk/house-prices/details/england-21245272?s=64a97d91a7e124f851730df0752ee6d7dab5724324077cdcd2adc2a3c1b0e8c4,"£1,100,000",4 Mar 2024
"Flat 9, 56, Swan Street, London, Greater London SE1 1AY",FLAT,,,https://www.rightmove.co.uk/house-prices/details/england-21245272?s=64a97d91a7e124f851730df0752ee6d7dab5724324077cdcd2adc2a3c1b0e8c4,"£1,008,000",22 May 2020
"33, Gladstone Street, London, Greater London SE1 6EY",TERRACED,4,https://media.rightmove.co.uk/dir/83k/82720/146399843/82720_P224909_IMG_00_0000_max_135x100.jpeg,https://www.rightmove.co.uk/house-prices/details/england-146399843-21245398?s=4458e09cda1856e26d578fe94db13b715f7a7410416c61c9143ebc2e14d60dbf,"£1,536,500",1 Mar 2024
"33, Gladstone Street, London, Greater London SE1 6EY",TERRACED,4,https://media.rightmove.co.uk/dir/83k/82720/146399843/82720_P224909_IMG_00_0000_max_135x100.jpeg,https://www.rightmove.co.uk/house-prices/details/england-146399843-21245398?s=4458e09cda1856e26d578fe94db13b715f7a7410416c61c9143ebc2e14d60dbf,"£760,000",5 Oct 2011
"33, Gladstone Street, London, Greater London SE1 6EY",TERRACED,4,https://media.rightmove.co.uk/dir/83k/82720/146399843/82720_P224909_IMG_00_0000_max_135x100.jpeg,https://www.rightmove.co.uk/house-prices/details/england-146399843-21245398?s=4458e09cda1856e26d578fe94db13b715f7a7410416c61c9143ebc2e14d60dbf,"£249,650",5 Sep 1997
"Flat 3, 15, Hayles Street, London, Greater London SE11 4SU",FLAT,,,https://www.rightmove.co.uk/house-prices/details/england-21245740?s=e2b5e00a59578638d0b4ee14cfa8acfec987f5d3ba14591c69570e843c3a8e36,"£660,000",1 Mar 2024
"Flat 3, 15, Hayles Street, London, Greater London SE11 4SU",FLAT,,,https://www.rightmove.co.uk/house-prices/details/england-21245740?s=e2b5e00a59578638d0b4ee14cfa8acfec987f5d3ba14591c69570e843c3a8e36,"£635,670",7 Jun 2018
"Flat 3, 15, Hayles Street, London, Greater London SE11 4SU",FLAT,,,https://www.rightmove.co.uk/house-prices/details/england-21245740?s=e2b5e00a59578638d0b4ee14cfa8acfec987f5d3ba14591c69570e843c3a8e36,"£342,500",14 May 2010
